area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
3600,6,1,2,yes,no,no,no,no,1,no,unfurnished
3185,2,1,1,yes,no,yes,no,no,2,no,furnished
4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished
3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
8800,3,2,2,yes,no,no,no,yes,2,no,furnished
8500,3,2,4,yes,no,no,no,yes,2,no,furnished
5880,2,1,1,yes,no,no,no,no,0,no,unfurnished
13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2856,3,1,3,yes,no,no,no,no,0,yes,furnished
6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished
7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
3264,2,1,1,yes,no,no,no,no,0,no,unfurnished
6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
4050,2,1,1,yes,no,no,no,no,0,no,furnished
3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
12900,3,1,1,yes,no,no,no,no,2,no,furnished
6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
9000,4,2,4,yes,no,no,no,yes,2,no,furnished
2817,4,2,2,no,yes,yes,no,no,1,no,furnished
4840,2,1,2,yes,no,no,no,no,0,no,unfurnished
6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
2145,3,1,3,yes,no,no,no,no,0,yes,furnished
6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished
5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4120,2,1,2,yes,no,no,no,no,0,no,unfurnished
3480,4,1,2,no,no,no,no,no,1,no,semi-furnished
4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished
7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
4500,2,1,1,yes,no,no,no,yes,2,no,furnished
6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
3960,3,1,2,yes,no,no,no,no,0,no,furnished
4040,2,1,1,yes,no,no,no,no,1,no,unfurnished
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
5000,3,1,4,yes,no,no,no,no,0,no,furnished
4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
8250,3,1,1,yes,no,no,no,no,0,no,furnished
3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
3060,3,1,1,yes,no,no,no,no,0,no,unfurnished
4032,2,1,1,yes,no,yes,no,no,0,no,furnished
6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2475,3,1,2,yes,no,no,no,no,0,no,furnished
7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
12944,3,1,1,yes,no,no,no,no,0,no,unfurnished
5200,4,1,3,yes,no,no,no,no,0,no,unfurnished
2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
3600,3,1,2,no,no,no,no,no,1,no,unfurnished
3290,2,1,1,yes,no,no,yes,no,1,no,furnished
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
3520,2,1,2,yes,no,no,no,no,0,yes,furnished
3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
3850,3,1,1,yes,no,no,no,no,0,no,unfurnished
5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished
6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
2520,5,2,1,no,no,yes,no,yes,1,no,furnished
5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
2145,3,1,3,yes,no,no,no,no,0,yes,furnished
10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
8250,3,1,1,yes,no,no,no,no,2,no,furnished
5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
7320,4,2,2,yes,no,no,no,no,0,no,furnished
2700,2,1,1,no,no,no,no,no,0,no,furnished
9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
4000,3,1,2,yes,no,no,no,no,1,no,furnished
3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
4410,2,1,1,no,no,no,no,no,1,no,unfurnished
7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished
6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
4320,3,1,2,yes,no,no,no,no,2,yes,furnished
15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
7152,3,1,2,yes,no,no,no,yes,0,no,furnished
6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
4960,2,1,1,yes,no,no,no,no,0,no,unfurnished
3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
3000,2,1,1,no,no,no,no,no,0,no,unfurnished
3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
5400,4,1,2,yes,no,no,no,no,0,no,unfurnished
4900,3,1,2,no,no,no,no,no,0,no,unfurnished
5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
3640,2,1,1,yes,no,no,no,no,0,no,furnished
4500,2,1,1,no,no,no,no,no,0,no,furnished
4500,2,1,1,no,no,no,no,no,0,no,semi-furnished
4300,6,2,2,yes,no,no,no,no,0,no,furnished
3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
4500,4,2,2,yes,no,yes,no,no,2,no,furnished
3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
3745,3,1,2,yes,no,yes,no,no,0,no,furnished
8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
3000,3,1,1,no,no,no,no,yes,0,no,unfurnished
4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished
6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
4750,2,1,1,yes,no,no,no,no,0,no,unfurnished
3600,2,1,1,yes,no,no,no,no,0,no,furnished
4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
3180,2,1,1,yes,no,no,no,no,0,no,unfurnished
6000,4,2,4,yes,no,no,no,yes,1,no,furnished
6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
4360,4,1,2,yes,no,no,no,no,0,no,furnished
8250,3,2,3,yes,no,no,no,yes,0,no,furnished
3640,3,1,2,yes,no,no,no,yes,0,no,furnished
11410,2,1,2,yes,no,no,no,no,0,yes,furnished
5880,3,1,1,yes,no,no,no,no,1,no,unfurnished
3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
7000,3,2,4,yes,no,no,no,yes,2,no,furnished
7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
3750,3,1,1,yes,no,no,no,no,0,no,unfurnished
3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
3120,3,1,2,no,no,no,no,no,0,no,furnished
6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
4000,3,1,2,yes,no,no,no,no,1,no,unfurnished
4370,3,1,2,yes,no,no,no,no,0,no,unfurnished
5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
5900,2,1,1,yes,no,no,no,no,1,no,furnished
4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
4600,2,1,1,yes,no,no,no,no,0,no,furnished
7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
4000,3,1,2,yes,no,no,no,no,2,no,furnished
3600,2,2,2,yes,no,yes,no,no,1,no,furnished
6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
4400,2,1,1,yes,no,no,no,no,0,no,unfurnished
4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
3660,4,1,2,no,no,no,no,no,0,no,unfurnished
10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished
6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
2910,2,1,1,no,no,no,no,no,0,no,unfurnished
8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
3162,3,1,2,yes,no,no,no,yes,1,no,furnished
2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished
6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
3150,3,1,2,no,no,no,no,no,0,no,unfurnished
5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
6240,4,2,2,yes,no,no,no,yes,1,no,furnished
6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
3970,1,1,1,no,no,no,no,no,0,no,unfurnished
8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
3000,4,1,2,yes,no,no,no,no,0,no,unfurnished
6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
3185,2,1,1,yes,no,no,no,no,2,no,unfurnished
6360,2,1,1,yes,no,no,no,no,0,no,furnished
6800,2,1,1,yes,no,no,no,no,0,no,unfurnished
4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
4400,3,1,2,yes,no,no,no,no,0,no,unfurnished
3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
3420,5,1,2,no,no,no,no,no,0,no,unfurnished
5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished
3620,2,1,1,yes,no,no,no,no,0,no,unfurnished
4500,3,1,1,yes,no,yes,no,no,0,no,furnished
3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
3450,1,1,1,yes,no,no,no,no,0,no,furnished
4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
7600,4,1,2,yes,no,no,no,yes,2,no,furnished
4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
8960,4,4,4,yes,no,no,no,yes,3,no,furnished
2430,3,1,1,no,no,no,no,no,0,no,unfurnished
3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
4960,4,1,3,no,no,no,no,no,0,no,semi-furnished
6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
2500,2,1,1,no,no,no,no,yes,0,no,unfurnished
3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
4320,3,1,1,no,no,no,no,no,1,no,unfurnished
3630,2,1,1,yes,no,yes,no,no,0,no,furnished
6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
3180,4,2,2,yes,no,no,no,no,0,no,furnished
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
3500,4,2,2,yes,no,no,yes,no,2,no,furnished
5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
3500,4,1,2,yes,no,no,no,no,2,no,furnished
7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
2990,2,1,1,no,no,no,no,no,1,no,unfurnished
7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
3040,2,1,1,no,no,no,no,no,0,no,unfurnished
1950,3,1,1,no,no,no,yes,no,0,no,unfurnished
3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished
3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
2550,3,1,2,yes,no,yes,no,no,0,no,furnished
3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
2880,3,1,1,no,no,no,no,no,0,no,unfurnished
7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
4352,4,1,2,no,no,no,no,no,1,no,unfurnished
9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
3500,2,1,1,yes,no,no,no,no,0,no,unfurnished
6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
2640,2,1,1,no,no,no,no,no,1,no,furnished
4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
3090,3,1,2,no,no,no,no,no,0,no,semi-furnished
7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
4500,3,2,3,yes,no,no,yes,no,1,no,furnished
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
